Kabupaten/Kota,2019,2020,2021,2022,2023
Bandung,3775.28,3623.79,3652.4,3687.25,3721.11
Bandung Barat,1699.9,1788.34,1808.42,1834.23,1859.64
Bekasi,3763.89,3113.02,3148.74,3193.84,3237.42
Bogor,5965.41,5427.07,5484.15,5556.31,5627.02
Ciamis,1195.18,1229.07,1234.83,1243.32,1251.54
Cianjur,2263.07,2477.56,2500.64,2529.81,2558.14
Cirebon,2192.9,2270.62,2301.33,2331.36,2360.44
Garut,2622.43,2585.61,2613.53,2648.95,2683.67
Indramayu,1728.47,1834.43,1851.73,1873.4,1894.33
Karawang,2353.91,2439.09,2465.57,2496.19,2526
Kota Bandung,2507.89,2444.16,2461.41,2484.15,2506.6
Kota Banjar,183.11,200.97,202.72,205.14,207.51
Kota Bekasi,3003.92,2543.68,2568.02,2598.07,2627.21
Kota Bogor,1112.08,1043.07,1050.92,1060.94,1070.72
Kota Cimahi,614.3,568.4,574.45,582.65,590.78
Kota Cirebon,319.31,333.3,335.81,338.94,341.98
Kota Depok,2406.83,2056.34,2081.13,2113.62,2145.4
Kota Sukabumi,328.68,346.32,350.15,355.42,360.64
Kota Tasikmalaya,663.52,716.15,723.1,732.48,741.76
Kuningan,1080.8,1167.69,1175.95,1189.01,1201.76
Majalengka,1205.03,1305.48,1315.01,1328.01,1340.62
Pangandaran,399.28,423.67,425.59,428.6,431.46
Purwakarta,962.89,997.87,1008.93,1023.18,1037.07
Subang,1595.83,1595.32,1620.7,1635.56,1649.82
Sukabumi,2466.27,2725.45,2747.45,2775.31,2802.4
Sumedang,1152.4,1152.51,1159.26,1168.84,1178.24
Tasikmalaya,1754.13,1865.2,1876.89,1892.22,1907.05
